YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 09 14 15 999 99.0 99.0  1.50 14.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 14 16 999 99.0 99.0  1.60 14.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 14 17 999 99.0 99.0  1.50 14.00 99.00 999 9999.0 999.0  27.5 999.0 99.0 99.00
2004 09 14 18 999 99.0 99.0  1.70 13.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 14 19 999 99.0 99.0  1.70 13.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 14 20 999 99.0 99.0  1.50 13.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 14 21 999 99.0 99.0  1.50 13.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 14 22 999 99.0 99.0  1.50  8.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 14 23 999 99.0 99.0  1.50 13.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 15 00 999 99.0 99.0  1.50 13.00 99.00 999 9999.0 999.0  27.7 999.0 99.0 99.00
2004 09 15 01 999 99.0 99.0  1.50 14.00 99.00 999 9999.0 999.0  27.8 999.0 99.0 99.00
2004 09 15 02 999 99.0 99.0  1.50 13.00 99.00 999 9999.0 999.0  27.8 999.0 99.0 99.00
2004 09 15 03 999 99.0 99.0  1.50 13.00 99.00 999 9999.0 999.0  27.8 999.0 99.0 99.00
2004 09 15 04 999 99.0 99.0  1.40 12.00 99.00 999 9999.0 999.0  27.8 999.0 99.0 99.00
2004 09 15 05 999 99.0 99.0  1.50 13.00 99.00 999 9999.0 999.0  27.8 999.0 99.0 99.00
2004 09 15 06 999 99.0 99.0  1.50 12.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 15 07 999 99.0 99.0  1.30 13.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 15 08 999 99.0 99.0  1.50 12.00 99.00 999 9999.0 999.0  27.7 999.0 99.0 99.00
2004 09 15 09 999 99.0 99.0  1.30 12.00 99.00 999 9999.0 999.0  27.8 999.0 99.0 99.00
2004 09 15 10 999 99.0 99.0  1.40 12.00 99.00 999 9999.0 999.0  27.7 999.0 99.0 99.00
2004 09 15 11 999 99.0 99.0  1.50  9.00 99.00 999 9999.0 999.0  27.7 999.0 99.0 99.00
2004 09 15 12 999 99.0 99.0  1.40 12.00 99.00 999 9999.0 999.0  27.8 999.0 99.0 99.00
2004 09 15 13 999 99.0 99.0  1.40  9.00 99.00 999 9999.0 999.0  27.7 999.0 99.0 99.00
2004 09 15 14 999 99.0 99.0  1.50  9.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 15 15 999 99.0 99.0  1.20 12.00 99.00 999 9999.0 999.0  27.7 999.0 99.0 99.00
2004 09 15 16 999 99.0 99.0  1.00 12.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 15 17 999 99.0 99.0  1.30  8.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 15 18 999 99.0 99.0  1.20 12.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 15 19 999 99.0 99.0  1.30 12.00 99.00 999 9999.0 999.0  27.8 999.0 99.0 99.00
2004 09 15 21 999 99.0 99.0  1.50  8.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 15 22 999 99.0 99.0  1.40  8.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 15 23 999 99.0 99.0  1.50  8.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 16 00 999 99.0 99.0  1.40  8.00 99.00 999 9999.0 999.0  27.5 999.0 99.0 99.00
2004 09 16 02 999 99.0 99.0  1.30  8.00 99.00 999 9999.0 999.0  27.8 999.0 99.0 99.00
2004 09 16 03 999 99.0 99.0  1.50 12.00 99.00 999 9999.0 999.0  27.8 999.0 99.0 99.00
2004 09 16 04 999 99.0 99.0  1.30  9.00 99.00 999 9999.0 999.0  27.8 999.0 99.0 99.00
2004 09 16 05 999 99.0 99.0  1.30  8.00 99.00 999 9999.0 999.0  27.8 999.0 99.0 99.00
2004 09 16 06 999 99.0 99.0  1.50  7.00 99.00 999 9999.0 999.0  27.8 999.0 99.0 99.00
2004 09 16 07 999 99.0 99.0  1.40  8.00 99.00 999 9999.0 999.0  27.8 999.0 99.0 99.00
2004 09 16 08 999 99.0 99.0  1.20  8.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 16 09 999 99.0 99.0  1.20  6.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 16 10 999 99.0 99.0  1.30  8.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 16 11 999 99.0 99.0  1.40  8.00 99.00 999 9999.0 999.0  27.5 999.0 99.0 99.00
2004 09 16 12 999 99.0 99.0  1.50  8.00 99.00 999 9999.0 999.0  27.5 999.0 99.0 99.00
2004 09 16 13 999 99.0 99.0  1.60  8.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 16 14 999 99.0 99.0  1.50  6.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 16 15 999 99.0 99.0  1.50  8.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 16 16 999 99.0 99.0  1.30  7.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 16 17 999 99.0 99.0  1.20  9.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 16 18 999 99.0 99.0  1.20  9.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 16 19 999 99.0 99.0  1.30  8.00 99.00 999 9999.0 999.0  27.5 999.0 99.0 99.00
2004 09 17 05 999 99.0 99.0  1.10  8.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 17 06 999 99.0 99.0  1.30  8.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 17 07 999 99.0 99.0  1.30  7.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 17 08 999 99.0 99.0  1.30  5.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 17 09 999 99.0 99.0  1.10  6.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 17 10 999 99.0 99.0  1.20  6.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 17 11 999 99.0 99.0  1.40  6.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 17 12 999 99.0 99.0  1.40  7.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 17 13 999 99.0 99.0  1.40  7.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 17 14 999 99.0 99.0  1.30  6.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 17 15 999 99.0 99.0  1.30  6.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 17 16 999 99.0 99.0  1.20  6.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 17 17 999 99.0 99.0  1.20  7.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 17 18 999 99.0 99.0  1.20  6.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 17 19 999 99.0 99.0  1.20  8.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 17 20 999 99.0 99.0  1.20  6.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
2004 09 17 21 999 99.0 99.0  1.20  7.00 99.00 999 9999.0 999.0  27.6 999.0 99.0 99.00
