Date,WVHT,DPD,MWD,WVHT_Mean,WVHT_Var,Obs
2010-10-09,1.52,11.11,325.0,1.4054166666666665,0.005251992753623195,4.0
2010-10-10,1.79,11.76,326.0,1.6658333333333333,0.004277536231884055,4.0
2010-10-11,1.6,9.88,343.0,1.5052173913043476,0.003516996047430839,3.0
2010-10-12,1.58,10.53,11.0,1.4291999999999998,0.007474333333333339,2.0
2010-10-13,1.23,8.33,24.0,1.0836363636363637,0.004548051948051947,2.0
2010-10-14,1.4,9.88,338.0,1.2091666666666667,0.00690362318840582,2.0
2010-10-15,1.32,8.33,353.0,1.195,0.004793999999999998,2.0
2010-10-16,1.37,8.33,25.0,1.278,0.0016000000000000016,2.0
2010-10-17,1.42,8.33,24.0,1.3092307692307692,0.007055384615384597,2.0
2010-10-18,1.15,8.33,34.0,1.0092307692307694,0.006135384615384622,1.0
2010-10-19,0.74,8.33,30.0,0.6142307692307692,0.0060333846153846115,1.0
2010-10-20,2.78,12.5,328.0,1.816923076923077,0.3358381538461538,8.0
2010-10-21,2.6,13.33,335.0,2.1172,0.04356266666666672,8.0
2010-10-22,1.48,10.53,345.0,1.2341666666666666,0.015407971014492794,5.0
2010-10-23,0.97,14.29,318.0,0.8320000000000001,0.008508333333333335,2.0
2010-10-24,1.19,13.33,317.0,1.0376,0.009760666666666666,3.0
2010-10-25,1.62,11.11,318.0,1.4087500000000002,0.022272282608695675,4.0
2010-10-26,1.68,10.53,321.0,1.4687999999999999,0.01628600000000001,2.0
2010-10-27,2.03,7.14,31.0,1.8091666666666668,0.01368623188405798,2.0
2010-10-28,2.12,7.69,33.0,1.8732,0.014739333333333422,4.0
2010-10-29,2.17,8.33,16.0,1.9665384615384616,0.012551538461538425,4.0
2010-10-30,1.72,7.69,18.0,1.5373076923076923,0.008060461538461537,3.0
2010-10-31,1.49,14.29,319.0,1.3742307692307691,0.0037373846153846086,3.0
2010-11-01,2.53,20.0,340.0,1.6154166666666667,0.16786938405797103,10.0
2010-11-02,5.03,16.67,331.0,3.869565217391304,0.1627498023715418,18.0
2010-11-03,3.85,14.29,329.0,3.37625,0.05176358695652176,12.0
2010-11-04,3.99,13.33,339.0,3.4080769230769232,0.07359215384615368,12.0
2010-11-05,2.73,12.5,340.0,2.493478260869565,0.02152371541501978,8.0
2010-11-06,1.95,11.76,336.0,1.7616,0.009830666666666672,4.0
2010-11-07,1.86,7.69,44.0,1.5956000000000001,0.014492333333333352,3.0
2010-11-08,1.96,13.33,343.0,1.7061538461538461,0.014936615384615359,5.0
2010-11-09,1.43,11.11,331.0,1.2826086956521738,0.00580197628458498,3.0
2010-11-10,1.43,12.5,325.0,1.3208000000000002,0.004657666666666662,4.0
2010-11-11,1.81,12.5,333.0,1.614,0.011616666666666662,5.0
2010-11-12,1.57,11.11,348.0,1.4487999999999999,0.005744333333333327,4.0
2010-11-13,1.28,8.33,34.0,1.1495833333333334,0.005334601449275344,2.0
2010-11-14,2.22,18.18,308.0,1.7161538461538461,0.10322461538461539,12.0
2010-11-15,2.56,16.67,304.0,2.3158333333333334,0.013703623188405775,12.0
2010-11-16,1.83,14.29,308.0,1.5870833333333334,0.010291123188405799,7.0
2010-11-17,2.26,15.38,298.0,1.744,0.04968333333333331,8.0
2010-11-18,1.7,13.33,304.0,1.4496153846153845,0.015771846153846154,7.0
2010-11-19,1.54,9.88,359.0,1.2423809523809524,0.012269047619047612,4.0
